"","G","GS","QBrec","Cmp","Att","Cmp%","Yds","TD","TD%","Int","Int%","Lng","Y/A","AY/A","Y/C","Y/G","Rate","Sk","Yds.1","NY/A","ANY/A","Sk%","AV"
"71",37,35,-7,679,1063,194.4,8097,40,10.5,23,6.7,219,23,22.1,35.6,647.9,271.5,101,718,18.92,18.12,28.2,33
"72",0,7,1,105,195,160.1,1303,4,6.6,6,10.1,153,19.9,16.7,37.4,477.5,202.4,10,72,18.03,14.92,13.4,3
"73",46,44,-16,798,1472,161.9,8221,48,9.8,50,10.2,198,16.7,14.1,31.1,534.3,201.3,53,326,15.53,12.97,10.3,19
"75",45,12,-2,189,350,137.4,2168,9,17.5,8,2.5,110,15.9,18.2,35.6,164.7,234.7,40,262,12.95,15.15,24.7,7
"76",11,5,-3,95,177,53.7,1012,5,2.8,7,4,40,5.7,4.5,10.7,144.6,63.6,9,44,5.2,4.05,4.8,1
"77",32,27,-1,582,953,180.5,6246,27,5.8,33,7,143,18.7,16.7,31.1,448,224.6,56,354,17.25,15.37,11.3,15
"79",13,10,4,235,367,131.2,2547,18,10.8,9,4.1,74,13.4,13.8,20.6,394.3,188.8,29,179,11.63,11.96,14.5,8
"81",10,3,-1,116,191,180.3,1358,10,17.2,12,14.8,110,23.2,20.1,38.7,402.3,255.3,16,116,20.76,18.2,17.6,3
"82",13,0,0,27,43,217.1,286,1,6.7,1,6.7,81,35.4,33.8,46.9,60.1,270.6,2,18,34.41,32.75,6.9,1
"83",34,6,4,170,288,186.5,1691,9,5.3,8,17.8,122,20.4,13.5,32.7,142.9,197.4,33,216,16.54,10.24,27.5,6
"84",18,9,-3,199,337,126.3,1902,9,2.8,13,13.8,92,12,6.4,27.9,187.5,129.1,31,208,9.37,3.83,23.8,5
"86",15,14,-8,220,413,157.9,2466,11,5.3,11,5.1,129,15.8,14.6,30,361.4,200.3,57,425,12.58,11.51,24.5,4
"88",25,19,1,306,524,175.3,3442,20,11.6,18,10.3,180,19.5,17.1,33.3,395.4,228.7,41,204,16.68,14.52,23.7,11
"89",21,8,2,242,384,191.6,2680,17,5.5,12,8.8,136,19,16.1,29.3,280.1,226.2,18,142,17.06,14.36,12.5,8
"90",13,3,-1,76,129,178.6,877,5,26.5,6,9.8,103,18.6,19.4,31.1,183.9,252.9,18,99,12.85,12.94,49.9,3
"91",8,1,1,25,35,121.5,368,2,7.1,3,21.4,59,15.7,7.5,23.6,92.8,124.4,7,42,10.64,3.54,30.1,2
"93",32,23,11,382,639,180.8,5046,31,9.6,11,3.3,140,23,23.4,38.2,351,271.1,55,343,20.79,21.2,15.4,24
"94",0,10,-6,182,330,112.6,2195,11,6.2,8,5,101,12.6,11.6,22.5,437.5,150.4,22,216,10.98,10.03,10.8,5
"95",17,12,-8,224,349,178.3,2215,8,4.6,5,6.8,110,18,15.7,30.6,337.1,216.3,49,337,12.09,10.35,44.8,5
"96",24,21,3,399,712,180.4,4894,31,10.9,26,12.3,182,21.8,18.5,36.4,543,232.7,46,280,19.53,16.38,18.4,16
"98",12,2,0,79,130,114.6,885,4,4.2,7,14.9,87,11.9,6,20.5,172.2,110.7,5,40,4.95,-0.9,103,2
"100",40,38,4,681,1161,175.6,7883,44,11.7,31,7.8,194,20.4,19.3,34.9,591,244.5,67,314,18.5,17.4,16.8,27
"101",21,16,-2,289,518,162.1,3458,14,8.1,17,10.2,176,21.7,18.6,40.3,407.7,216.1,27,200,19.28,16.47,15.2,11
"102",15,8,-6,211,379,111.9,2185,8,4.8,7,3.4,102,11.8,11.3,21,300,188.2,30,190,10.13,9.61,14.3,6
"103",0,6,-2,115,189,128,1296,5,5.6,4,5,80,13.4,12.2,21,386,164.3,21,114,11.1,10.06,18.9,4
"104",10,6,-4,140,274,160.4,1372,3,12.2,11,8.4,87,16.2,14.9,30.6,370.6,213.1,18,137,14.62,13.49,12.7,-4
